iso3,name,region,old_score,new_score,delta,confidence,new_rank,old_rank,conflict_raw,conflict_shrunk,crime_raw,crime_shrunk,health_raw,health_shrunk,governance_raw,governance_shrunk,environment_raw,environment_shrunk,advisory_A,advisory_nAdv,advisory_severeShare,advisory_severeEff,advisory_rhoA,mu_prior,G_geomean,acute_mean,composite
ABW,Aruba,americas,9.151258282468602,6.6446507195660836,-2.506607562902518,0.09375,137,23,0.9803921568627452,0.6597947303921569,,0.5140686274509804,,0.5140686274509804,,0.5140686274509804,,0.5140686274509804,0.9803921568627452,5,0,0,0.45454545454545453,0.5140686274509804,0.5540352831498377,0.5540352831498377,0.5540352831498377
AFG,Afghanistan,asia,1.968,3.8560056410932426,1.8880056410932426,0.7506811332127789,247,235,0.22976428571428575,0.25288067359855343,0.21599999999999997,0.250625,0.43740000000000007,0.41234687500000006,0.14214285714285713,0.1811517857142857,0.3407692307692307,0.33957532051282047,0.11428571428571428,11,0.7714285714285715,0.4991596638655463,0.6470588235294118,0.3371875,0.2725733148248025,0.2518453364259673,0.23388818999776684
AGO,Angola,africa,5.713695539263766,6.701987232353463,0.988291693089697,0.7509523809523809,130,161,0.6999221846846846,0.6468614122000151,0.64425,0.5894086418351124,0.5318,0.5119263116057234,0.4153214285714286,0.4227181921417216,0.6672727272727272,0.5956169003227827,0.7117117117117117,12,0,0,0.6666666666666666,0.4523052464228935,0.5611685589723273,0.5611685589723273,0.5611685589723273
AIA,Anguilla,americas,9.151225107092204,6.63957742315705,-2.511647683935154,0.09375,138,24,0.9777777777777777,0.6586631944444444,,0.5136111111111111,,0.5136111111111111,,0.5136111111111111,,0.5136111111111111,0.9777777777777777,5,0,0,0.45454545454545453,0.5136111111111111,0.5534050349694002,0.5534050349694002,0.5534050349694002
ALA,Aland Islands,europe,5.5,6.205096827573794,0.7050968275737937,0,181,166,,0.5,,0.5,,0.5,,0.5,,0.5,,0,0,0,0,0.5,0.5,0.5,0.49999999999999994
ALB,Albania,europe,6.952314229388741,7.678938197266844,0.726623967878103,0.7500207039337474,46,124,0.8186805555555556,0.7684239130434783,0.7305,0.6896428571428572,0.84922,0.78379,0.5300714285714285,0.5415571428571428,0.49,0.5225,0.8888888888888888,9,0,0,0.6,0.5875,0.685538008347014,0.685538008347014,0.685538008347014
AND,Andorra,europe,8.837394077725595,7.598695848897324,-1.2386982288282704,0.21249999999999997,49,41,1,0.7499999999999999,,0.6,0.9875,0.79375,,0.6,,0.6,1,9,0,0,0.6,0.6,0.6784701604525438,0.6652043711409434,0.6751291151759864
ARE,United Arab Emirates,middle_east,7.157936366193559,7.343513274278074,0.18557690808451444,0.7329464285714286,72,117,0.6815676724137931,0.6305350889008622,0.7875,0.6905788177339901,0.7,0.6160919540229884,0.6737142857142857,0.6286266009852216,0.7288888888888888,0.6353512132822478,0.7241379310344828,8,0,0,0.5714285714285714,0.4482758620689655,0.6422520485396415,0.6422520485396415,0.6422520485396415
ARG,Argentina,americas,6.857721376066474,7.437422850660277,0.5797014745938034,0.7509523809523809,61,128,0.8251086711711713,0.763097535297903,0.62025,0.596099534408358,0.83005,0.7564683426073131,0.5440357142857143,0.542373245514422,0.5063636363636363,0.5161502143855085,0.927927927927928,12,0,0,0.6666666666666666,0.5357233704292528,0.6543109863130558,0.6543109863130558,0.6543109863130558
ARM,Armenia,middle_east,6.576038789603846,7.210568052101507,0.6345292624976615,0.7503732303732303,83,139,0.6754079545454545,0.6227398955773955,0.75325,0.6614123376623376,0.80816,0.7140745454545454,0.5405357142857143,0.5187922077922078,0.6209090909090909,0.5578787878787879,0.6363636363636364,10,0,0,0.625,0.4318181818181818,0.6252616491344127,0.6252616491344127,0.6252616491344127
ASM,American Samoa,oceania,9.26221747588138,6.434940177723687,-2.827277298157693,0.06,166,20,1,0.6,,0.5,,0.5,,0.5,0.9,0.5,1,2,0,0,0.25,0.5,0.5281099842196291,0.5281099842196291,0.5281099842196291
ATA,Antarctica,other,7.210545751253548,6.08949808525093,-1.1210476660026183,0.075,191,113,0.6666666666666666,0.5205729166666666,,0.471875,,0.471875,,0.471875,,0.471875,0.6666666666666666,3,0,0,0.3333333333333333,0.471875,0.4859855419444717,0.4859855419444717,0.4859855419444717
ATF,French Southern Territories,other,5.5,5.78939212004258,0.28939212004257975,0,208,166,,0.45,,0.45,,0.45,,0.45,,0.45,,0,0,0,0,0.45,0.45,0.45,0.45000000000000007
ATG,Antigua and Barbuda,americas,7.278800713226932,7.108009557305397,-0.1707911559215347,0.39166666666666666,93,108,0.9696969696969696,0.6696786042240587,,0.5196694214876033,0.8680100000000001,0.7809248553719009,0.47,0.49483471074380164,0.7944444444444445,0.7028527701254975,0.9696969696969696,6,0,0,0.5,0.5196694214876033,0.6223992010106288,0.5826722100745929,0.6122204696678121
AUS,Australia,oceania,8.647063271595252,8.335801262236917,-0.3112620093583356,0.749136400322841,16,48,0.8923000000000001,0.8173370056497176,0.8485,0.7638095238095238,0.8722599999999999,0.7922158333333333,0.9039642857142858,0.8335880952380952,0.5718181818181818,0.565239898989899,1,7,0,0,0.5384615384615384,0.5520833333333334,0.7719716049691193,0.7719716049691193,0.7719716049691193
AUT,Austria,europe,8.567248834664031,8.48071681743425,-0.0865320172297821,0.7500207039337474,12,52,0.9311045977011494,0.8591253373313344,0.8725,0.7946428571428573,0.9441299999999999,0.8580975,0.7911428571428573,0.7529142857142859,0.5411111111111111,0.5607407407407408,0.9770114942528735,9,0,0,0.6,0.6,0.7913257959954956,0.7913257959954956,0.7913257959954956
AZE,Azerbaijan,middle_east,1.7155,6.428553786007043,4.713053786007043,0.7503732303732303,168,241,0.6379088383838384,0.5913102943852944,0.66525,0.5958615921115921,0.7830900000000001,0.6929151430976431,0.21982142857142856,0.26033525733525736,0.4788888888888889,0.4600561167227834,0.5959595959595959,10,0,0,0.625,0.4223905723905724,0.527324585445453,0.527324585445453,0.5273245854454531
BDI,Burundi,africa,2.1205,6.033503170818969,3.9130031708189694,0.7509523809523809,194,229,0.5840198198198199,0.5472102127337423,0.5305,0.49671190097660683,0.51061,0.48601791335453104,0.2575,0.28844833068362485,0.7554545454545455,0.6410502481090717,0.5495495495495495,12,0.02702702702702703,0.018018018018018018,0.6666666666666666,0.412241653418124,0.48139576652874383,0.48139576652874383,0.4792273171299657
BEL,Belgium,europe,8.470410331920853,8.255029106842983,-0.21538122507786994,0.7503732303732303,19,55,0.8519055555555556,0.7954374874874875,0.7995,0.7398544973544974,0.9340700000000002,0.8482376851851853,0.8300357142857142,0.7821767195767195,0.5355555555555556,0.5539506172839506,0.8888888888888888,10,0,0,0.625,0.5907407407407407,0.761227986056042,0.761227986056042,0.761227986056042
BEN,Benin,africa,6.592074765016464,6.618334275356726,0.026259510340262082,0.7506811332127789,141,137,0.6563291666666666,0.6097997362869199,0.5795,0.5396726190476191,0.4922700000000001,0.4792285416666668,0.6600357142857143,0.6160494047619047,0.5299999999999999,0.5000347222222222,0.6666666666666666,11,0.029411764705882353,0.01903114186851211,0.6470588235294118,0.4401041666666667,0.5534006290174481,0.5534006290174481,0.5507676675472094
BES,"Bonaire, Sint Eustatius and Saba",americas,5.5,5.620432067402156,0.12043206740215595,0,219,166,,0.43,,0.43,,0.43,,0.43,,0.43,,0,0,0,0,0.43,0.43,0.43,0.42999999999999994
BFA,Burkina Faso,africa,5.259898452199833,5.203866076856776,-0.05603237534305716,0.7506811332127789,228,187,0.39886851851851857,0.38856421120487583,0.43674999999999997,0.41224537037037035,0.34619,0.34738844907407407,0.50125,0.47119675925925925,0.7411111111111112,0.6110686728395062,0.2962962962962963,11,0.4444444444444444,0.2875816993464052,0.6470588235294118,0.35098379629629634,0.4153174768496132,0.3986390974355236,0.38152854952018317
BGD,Bangladesh,asia,5.009380628132779,6.330596940427994,1.3212163122952152,0.7509523809523809,175,191,0.6771647522522524,0.6311166160383073,0.64125,0.5901138428344311,0.48945,0.4826558624801272,0.3603928571428571,0.38076897569838747,0.3069230769230769,0.35870653458888757,0.6306306306306307,12,0,0,0.6666666666666666,0.4622734499205088,0.5153087468548745,0.5153087468548745,0.5153087468548744
BGR,Bulgaria,europe,7.005489560706451,7.840241046257993,0.8347514855515419,0.7496130952380953,38,122,0.860584413580247,0.8029375797572412,0.748,0.7048731515398182,0.87447,0.8051165075973409,0.4969285714285714,0.5169540632207299,0.5955555555555556,0.5960557138334917,0.9506172839506173,8,0,0,0.5714285714285714,0.5970560303893637,0.7065623670956729,0.7065623670956729,0.706562367095673
BHR,Bahrain,middle_east,4.3075,7.0116420735566045,2.7041420735566044,0.7506811332127789,102,195,0.6478255952380954,0.6016466169379145,0.659,0.5944940476190476,0.8127800000000001,0.7178922916666667,0.40635714285714286,0.4117315476190476,0.9166666666666666,0.7555208333333333,0.6380952380952382,11,0,0,0.6470588235294118,0.4332291666666667,0.6005759618813538,0.5983529806843708,0.6000194435206935
BHS,Bahamas,americas,6.846431004811481,6.99349026883968,0.1470592640281989,0.4041666666666667,105,129,0.8333333333333333,0.6281249999999999,,0.505,0.82144,0.7423299999999999,0.6,0.5525,0.8227272727272728,0.7168181818181818,0.8333333333333333,9,0,0,0.6,0.505,0.6112893286129925,0.5588190180313629,0.5977270431310364
BIH,Bosnia and Herzegovina,europe,6.362195330149754,7.47712405139546,1.1149287212457066,0.7496130952380953,56,146,0.7924275862068966,0.7455180702917772,0.714,0.6751383099658962,0.86599,0.7939885212201592,0.3845714285714286,0.4232539598332702,0.5766666666666665,0.5771058060713232,0.8620689655172413,8,0,0,0.5714285714285714,0.5779840848806366,0.6594231415683917,0.6594231415683917,0.6594231415683917
BLM,Saint Barthelemy,americas,5.5,5.620432067402156,0.12043206740215595,0,219,166,,0.43,,0.43,,0.43,,0.43,,0.43,,0,0,0,0,0.43,0.43,0.43,0.42999999999999994
BLR,Belarus,europe,2.032,5.957855695987199,3.925855695987199,0.7506811332127789,201,234,0.45878749999999996,0.4521219936708861,0.62625,0.5695535714285713,0.81583,0.718825625,0.4094285714285715,0.4131053571428572,0.6366666666666667,0.5670486111111112,0.2,11,0.6,0.38823529411764707,0.6470588235294118,0.4278125,0.5303422152439454,0.4926758565657363,0.4701288762844618
BLZ,Belize,americas,6.312781481366866,6.888818939944866,0.5760374585779999,0.4116666666666667,116,147,0.8198198198198198,0.6333365129835719,,0.5090143084260731,0.8270700000000001,0.7475560771065184,0.42000000000000004,0.46450715421303657,0.6966666666666667,0.6341158805864687,0.8198198198198198,12,0,0,0.6666666666666666,0.5090143084260731,0.5917896085337159,0.5633357619465553,0.5845441677922547
BOL,Bolivia,americas,5.454886659168577,6.757385858803794,1.3024991996352169,0.7506811332127789,124,181,0.6875886904761905,0.6412813667872213,0.61125,0.571577380952381,0.71597,0.6550764583333333,0.36317857142857146,0.38502202380952383,0.5499999999999999,0.5241319444444444,0.6761904761904761,11,0,0,0.6470588235294118,0.4723958333333333,0.568078878389077,0.568078878389077,0.5680788783890769
BRA,Brazil,americas,6.531587712595934,6.382109961840169,-0.1494777507557652,0.7503732303732303,172,142,0.6326282828282828,0.5992635726635726,0.42025,0.4368404280904281,0.51732,0.5075691245791246,0.6258928571428571,0.5963775853775853,0.5592307692307693,0.532259345592679,0.7070707070707071,10,0,0,0.625,0.4783164983164983,0.5289390554769724,0.5002661349848055,0.5216203217867819
BRB,Barbados,americas,7.565948328597116,7.382995764449669,-0.1829525641474472,0.4520512820512821,67,96,0.9555555555555556,0.6975498575498574,,0.5362962962962963,0.77678,0.7166590740740741,0.8022857142857143,0.7490878306878306,0.7611111111111112,0.6861728395061729,0.9555555555555556,10,0,0,0.625,0.5362962962962963,0.6626886923833901,0.6033056315211536,0.6473162580698612
BRN,Brunei,asia,7.49172963740348,7.108800009116431,-0.3829296282870489,0.39666666666666667,92,98,0.9420289855072465,0.6678710748792271,,0.5202475845410628,0.80759,0.7357543961352657,0.69,0.6051237922705314,0.6255555555555555,0.5904528985507246,0.9420289855072465,7,0,0,0.5384615384615384,0.5202475845410628,0.622589858275279,0.5825186214292627,0.612320761119011
BTN,Bhutan,asia,8.211296069515281,8.13324462771907,-0.0780514417962106,0.7503732303732303,23,64,0.8988967741935485,0.8211114792211567,0.848,0.7597542242703533,0.7844200000000001,0.7230999462365593,0.7402142857142857,0.6999993855606759,0.6577777777777777,0.618231780167264,0.967741935483871,10,0,0,0.625,0.5391397849462365,0.7450893661816688,0.7450893661816688,0.7450893661816688
BVT,Bouvet Island,other,5.5,5.78939212004258,0.28939212004257975,0,208,166,,0.45,,0.45,,0.45,,0.45,,0.45,,0,0,0,0,0.45,0.45,0.45,0.45000000000000007
BWA,Botswana,africa,7.83941870533892,7.55963860061715,-0.2797801047217696,0.7503732303732303,50,78,0.7893202956989247,0.7216885123026252,0.656,0.604720942140297,0.80653,0.7240283243727599,0.6959642857142856,0.6520760880696364,0.7463636363636363,0.6564168567394374,0.8279569892473118,10,0,0,0.625,0.4765232974910394,0.6740739050669702,0.658219337331115,0.670074815481722
CAF,Central African Republic,africa,2.036,4.398544615383134,2.362544615383134,0.7500207039337474,243,233,0.3371166666666666,0.33448260869565216,0.367,0.355,0.32117,0.3221275,0.16021428571428573,0.1931714285714286,0.5555555555555556,0.4787037037037037,0.16666666666666666,9,0.625,0.375,0.6,0.325,0.3216420516612291,0.3216420516612291,0.2914881093179889
CAN,Canada,americas,8.429799190368765,8.225023711165882,-0.2047754792028833,0.7496130952380953,20,57,0.9193583333333333,0.8346124799679486,0.86575,0.7703782051282051,0.8750399999999999,0.7892671794871795,0.8612857142857142,0.795418315018315,0.4288888888888889,0.4632421652421652,0.9733333333333333,8,0,0,0.5714285714285714,0.5319487179487179,0.7572449997205369,0.7572449997205369,0.757244999720537
CCK,Cocos (Keeling) Islands,other,5.5,5.78939212004258,0.28939212004257975,0,208,166,,0.45,,0.45,,0.45,,0.45,,0.45,,0,0,0,0,0.45,0.45,0.45,0.45000000000000007
CHE,Switzerland,europe,8.952454847462269,8.675102888770095,-0.277351958692174,0.7496130952380953,4,33,0.9188500000000001,0.8491015625,0.9225,0.8303571428571429,0.92129,0.8409675000000001,0.9337500000000001,0.867,0.6099999999999999,0.6066666666666666,1,8,0,0,0.5714285714285714,0.6,0.8174436864928637,0.8174436864928637,0.8174436864928637
CHL,Chile,americas,8.052710345286272,7.556462028421761,-0.4962483168645111,0.7506811332127789,52,69,0.7445619047619048,0.6904328134418326,0.667,0.6172916666666667,0.8630800000000001,0.7705652083333334,0.8141785714285714,0.7499470238095238,0.5318181818181817,0.5188857323232323,0.761904761904762,11,0,0,0.6470588235294118,0.49302083333333335,0.6752781082867867,0.6531005407088886,0.6696640943344122
CHN,China,asia,2.6638749999999995,6.835683512553736,4.171808512553737,0.7500207039337474,119,213,0.7433583333333333,0.6915413043478262,0.7325,0.6675000000000001,0.75357,0.6914275,0.41682142857142856,0.4344571428571428,0.1254545454545454,0.25196969696969695,0.8333333333333333,9,0,0,0.6,0.505,0.5778757329699685,0.5778757329699685,0.5778757329699685
CIV,Cote d'Ivoire,africa,5.31287742613399,5.954138485300435,0.6412610591664452,0.4116666666666667,202,186,0.6666666666666666,0.4830729166666667,,0.421875,0.58605,0.5450062499999999,0.40714285714285714,0.4100892857142857,0.6709090909090909,0.5878977272727273,0.6666666666666666,3,0,0,0.3333333333333333,0.421875,0.47603840621232446,0.451120348946527,0.46968273764072777
CMR,Cameroon,africa,2.161,5.538226225827475,3.377226225827475,0.7503732303732303,222,225,0.5475251262626263,0.518940204977705,0.5065,0.4804485329485329,0.38088,0.38948996632996635,0.17350000000000002,0.22186397306397304,0.5563636363636363,0.5093490460157126,0.5656565656565656,10,0.030303030303030304,0.01893939393939394,0.625,0.4153198653198653,0.4223385612027113,0.4223385612027113,0.42033885210610755
COD,Democratic Republic of the Congo,africa,2.458,4.58803363872072,2.13003363872072,0.7485714285714286,240,217,0.3613708333333333,0.3628843855218855,0.31275,0.3285876623376623,0.27777,0.30037295454545454,0.14839285714285716,0.19235064935064936,0.5538461538461539,0.491958041958042,0.3333333333333333,6,0.18181818181818182,0.09090909090909091,0.5,0.3681818181818182,0.31947164487868784,0.31947164487868784,0.3122109256768995
COG,Congo,africa,3.4570000000000003,6.268015302581866,2.811015302581866,0.7478911564625851,179,204,0.6593375,0.6084849489795917,0.553,0.5186607142857144,0.64671,0.5932356249999999,0.25742857142857145,0.2925053571428572,0.5372727272727273,0.5024526515151516,0.6875,5,0.0625,0.028409090909090908,0.45454545454545453,0.43281250000000004,0.511294149277311,0.511294149277311,0.5076627987852845
COK,Cook Islands,oceania,9.047939285335218,6.7333683325752025,-2.3145709527600156,0.08571428571428573,127,31,1,0.6626984126984128,,0.5277777777777778,,0.5277777777777778,,0.5277777777777778,0.9,0.5277777777777778,1,4,0,0,0.4,0.5277777777777778,0.565080797276175,0.565080797276175,0.5650807972761751
COL,Colombia,americas,6.15725456915736,5.933543431815702,-0.2237111373416587,0.7506811332127789,205,153,0.5285428571428571,0.5095565777576854,0.354,0.37866071428571424,0.54725,0.520515625,0.6476428571428572,0.6061767857142858,0.4318181818181819,0.4346496212121212,0.5428571428571427,11,0,0,0.6470588235294118,0.44031249999999994,0.4799664333683833,0.4309484853484404,0.46721253821294123
COM,Comoros,africa,3.3625,6.3780840945359385,3.0155840945359387,0.44166666666666665,173,206,0.8055555555555555,0.582494212962963,,0.46238425925925924,0.7523,0.6798210648148147,0.2488928571428571,0.2915911375661375,0.8772727272727273,0.738976571268238,0.8055555555555555,7,0,0,0.5384615384615384,0.46238425925925924,0.5234755275849459,0.5141423803268503,0.5211264762719641
CPV,Cabo Verde,africa,8.015004195955306,6.688194892858079,-1.3268093030972272,0.43041666666666667,132,70,0.7777777777777778,0.5514756944444444,,0.4486111111111111,0.84871,0.7486852777777777,0.6557499999999999,0.6143222222222222,0.8923076923076924,0.744408831908832,0.7777777777777777,5,0,0,0.45454545454545453,0.4486111111111111,0.5830769367871393,0.49416308684723986,0.5594508949911975
CRI,Costa Rica,americas,8.17348788265366,7.722172581936111,-0.4513153007175488,0.7506811332127789,45,65,0.7934759259259259,0.7315607184716362,0.69225,0.6389649470899471,0.8004399999999999,0.7267680787037036,0.83925,0.772550462962963,0.5933333333333334,0.5641396604938271,0.8148148148148148,11,0,0,0.6470588235294118,0.5057523148148148,0.6938270578277395,0.6832206429664612,0.691160116645176
CUB,Cuba,americas,2.6605,6.5795855385835775,3.9190855385835777,0.7506811332127789,148,214,0.6344428571428571,0.5926679701627486,0.57475,0.5363392857142857,0.77596,0.692048125,0.2825,0.3140625,0.7346153846153847,0.6365144230769232,0.5428571428571428,11,0,0,0.6470588235294118,0.4403125,0.5459637852396724,0.5459637852396724,0.5459637852396724
CUW,Curacao,americas,8.921448520787557,6.198835772659435,-2.722612748128122,0.06,184,35,0.9333333333333333,0.5653333333333334,,0.47333333333333333,,0.47333333333333333,,0.47333333333333333,,0.47333333333333333,0.9333333333333333,2,0,0,0.25,0.47333333333333333,0.49923881161246864,0.49923881161246864,0.4992388116124686
CXR,Christmas Island,other,5.5,5.78939212004258,0.28939212004257975,0,208,166,,0.45,,0.45,,0.45,,0.45,,0.45,,0,0,0,0,0.45,0.45,0.45,0.45000000000000007
CYM,Cayman Islands,americas,9.70288638116901,6.454362541952282,-3.2485238392167286,0.075,162,13,1,0.62171875,,0.495625,,0.495625,,0.495625,,0.495625,1,3,0,0,0.3333333333333333,0.495625,0.5305000544487889,0.5305000544487889,0.5305000544487889
CYP,Cyprus,europe,8.301737033838005,8.021113275904586,-0.2806237579334194,0.7503732303732303,30,59,0.8114517676767676,0.7652592660842661,0.67975,0.656338985088985,0.8882,0.8156028619528619,0.7505714285714286,0.7200194324194324,0.8333333333333333,0.7548260381593715,0.9191919191919191,10,0,0,0.625,0.5978114478114478,0.7380855408047309,0.7074115764689048,0.7302945569931707
CZE,Czech Republic,europe,8.817766551722556,8.568137645825043,-0.24962890589751296,0.747056277056277,7,42,0.9326875,0.8520261994949494,0.8685,0.785436507936508,0.9361599999999999,0.8465644444444442,0.8643214285714285,0.8070126984126983,0.6633333333333333,0.6348148148148148,1,4,0,0,0.4,0.5777777777777777,0.8030496945311223,0.8030496945311223,0.8030496945311223
DEU,Germany,europe,8.524215168309397,8.1146163906444,-0.4095987776649963,0.749136400322841,24,54,0.8230655797101449,0.7652470072873168,0.843,0.7623309178743961,0.91857,0.8290920531400967,0.91925,0.8475316425120774,0.4255555555555556,0.4705897745571659,0.7971014492753623,7,0.08695652173913043,0.046822742474916385,0.5384615384615384,0.5606582125603865,0.7514231361116283,0.7514231361116283,0.7426272131136661
DJI,Djibouti,africa,5.562991527105265,6.698012889286943,1.1350213621816785,0.7509523809523809,131,165,0.6544577702702703,0.609231582159891,0.61725,0.5675792073586191,0.68699,0.6260930564387918,0.359,0.37588044515103336,0.75,0.647800741918389,0.6756756756756757,12,0.02702702702702703,0.018018018018018018,0.6666666666666666,0.44340222575516697,0.5632104748035451,0.5632104748035451,0.5606734906828085
