iso3,name,region,v9_score,v91_score,delta,confidence,v91_rank,v9_rank,conflict_raw,conflict_shrunk,crime_raw,crime_shrunk,health_raw,health_shrunk,governance_raw,governance_shrunk,environment_raw,environment_shrunk,advisory_A,advisory_nAdv,advisory_severeShare,advisory_severeEff,advisory_rhoA,mu_prior,G_geomean,acute_mean,composite,gpi_overall_raw,gpi_overall_norm,gpi_overall_year,gpi_safety_security_raw,gpi_safety_security_norm,gpi_militarisation_raw,gpi_militarisation_norm,homicide,homicide_norm,homicide_year,ucdp_deaths,ucdp_deaths_norm,ucdp_deaths_year,air_pollution_raw,air_pollution_norm,air_pollution_year,population,homicide_rho_eff
ABW,Aruba,americas,6.6446507195660836,6.44246239013051,-0.20218832943557352,0.18018562783060094,142,137,0.9803921568627451,0.6597947303921569,0.9677541576982919,0.6709270020293223,,0.5140686274509804,,0.5140686274509804,,0.5140686274509804,0.9803921568627452,5,0,0,0.45454545454545453,0.5140686274509804,0.5921762231201013,0.5921762231201013,0.5921762231201013,,,,,,,,1.93475053810249,0.9677541576982919,2014,,,,,,,108785,0.5284502161698269
AFG,Afghanistan,asia,3.8560056410932426,3.815052120496687,-0.04095352059655566,0.8029564849095643,243,247,0.3131779143892843,0.31653728027720335,0.5496914784387721,0.5071327061844056,0.43740000000000007,0.41234687500000006,0.14214285714285713,0.1811517857142857,0.4386809115308966,0.4133075586481724,0.11428571428571428,11,0.7714285714285715,0.4991596638655463,0.6470588235294118,0.3371875,0.354645239206478,0.354645239206478,0.29799736772045504,3.106,0.29800000000000004,2026,3.556,0.361,2.701,0.57475,4.0324584656778,0.9327923589053699,2021,330,0.42472692639030096,2025,37.9483109911724,0.620516890088276,2023,43844111,1.4931886467182867
AGO,Angola,africa,6.701987232353462,6.4992284199316055,-0.20275881242185623,0.8030629652815315,137,130,0.7074668886240248,0.6718629385494483,0.7659070339009914,0.7030906269489194,0.5318,0.5119263116057234,0.4153214285714286,0.4227181921417216,0.7192483425691906,0.6525125685326163,0.7117117117117117,12,0,0,0.6666666666666666,0.4523052464228935,0.598611494475483,0.598611494475483,0.598611494475483,1.955,0.6816666666666666,2026,2.263,0.68425,1.647,0.8382499999999999,4.09826656345614,0.9316955572757311,2016,24,0.6808523250407579,2025,19.9075690536367,0.800924309463633,2023,39040039,1.4923547476596544
AIA,Anguilla,americas,6.639577423157048,6.099926196997536,-0.5396512261595126,0.09375,165,138,0.9777777777777777,0.6586631944444444,,0.5136111111111111,,0.5136111111111111,,0.5136111111111111,,0.5136111111111111,0.9777777777777777,5,0,0,0.45454545454545453,0.5136111111111111,0.5534050349694002,0.5534050349694002,0.5534050349694002,,,,,,,,,,,,,,,,,,
ALA,Aland Islands,europe,6.205096827573794,5.626512219952298,-0.5785846076214956,0,193,182,,0.5,,0.5,,0.5,,0.5,,0.5,,0,0,0,0,0.5,0.5,0.5,0.49999999999999994,,,,,,,,,,,,,,,,,,
ALB,Albania,europe,7.678938197266844,7.747710875971985,0.06877267870514103,0.8015414563393182,50,46,0.8635024305555556,0.8246288487871676,0.8563610412550615,0.8012928985512255,0.84922,0.78379,0.5300714285714285,0.5415571428571428,0.6452507984838627,0.630813098862897,0.8888888888888888,9,0,0,0.6,0.5875,0.7408018152472311,0.7408018152472311,0.7408018152472311,1.725,0.7583333333333333,2026,1.812,0.7969999999999999,1.933,0.76675,1.38708340817063,0.9768819431971562,2023,0,1,2025,15.5141032036885,0.844858967963115,2023,2349580,1.3823335608217824
AND,Andorra,europe,7.598695848897325,7.960878934030372,0.3621830851330472,0.4531662520377107,39,49,1,0.902439024390244,0.956922546739037,0.7089855625946071,0.9875,0.79375,,0.6,0.9111697812029187,0.7555848906014593,1,9,0,0,0.6,0.6,0.765195610013527,0.765195610013527,0.765195610013527,,,,,,,,2.58464719565779,0.9569225467390369,2020,0,1,2025,8.88302187970813,0.9111697812029187,2023,82904,0.43956960665101946
ARE,United Arab Emirates,middle_east,7.343513274278074,7.234752111770574,-0.10876116250749934,0.7856516497659287,86,73,0.7881486206896552,0.7400858063392546,0.8422548003122947,0.763053307110656,0.7,0.6160919540229884,0.6737142857142857,0.6286266009852216,0.5973080495705234,0.5600500026951339,0.7241379310344828,8,0,0,0.5714285714285714,0.4482758620689655,0.6822350745861088,0.6822350745861088,0.6822350745861088,1.927,0.6910000000000001,2026,1.919,0.77025,2.188,0.703,0.693218125037315,0.9884463645827114,2022,0,1,2025,57.1867315267375,0.428132684732625,2023,11513149,1.4743877585779879
ARG,Argentina,americas,7.437422850660278,7.220735143796311,-0.21668770686396677,0.8030743052661173,89,61,0.7597161972690247,0.7284613842216147,0.7257139874196505,0.6876662919603929,0.83005,0.7564683426073131,0.5440357142857143,0.542373245514422,0.6425410194707118,0.6158366072103472,0.927927927927928,12,0,0,0.6666666666666666,0.5357233704292528,0.6806374404037461,0.6806374404037461,0.6806374404037461,1.922,0.6926666666666668,2026,2.49,0.6275,1.468,0.883,4.49291137824536,0.9251181436959106,2023,45,0.6203948004138269,2025,14.3465949932455,0.856534050067545,2023,45851378,1.4934855369583078
ARM,Armenia,middle_east,7.210568052101507,7.271691911968693,0.061123859867185715,0.801964994380767,83,83,0.7783911931818183,0.7297493670255184,0.8578741533529503,0.7710784697354263,0.80816,0.7140745454545454,0.5405357142857143,0.5187922077922078,0.6572929926736346,0.6009242899597714,0.6363636363636364,10,0,0,0.625,0.4318181818181818,0.6864461368561297,0.6864461368561297,0.6864461368561297,1.825,0.7250000000000001,2026,1.776,0.806,2.057,0.73575,2.20833575400906,0.963194404099849,2023,0,1,2025,28.5532304553511,0.714467695446489,2023,3086700,1.408723035263334
